Model_Name,Bias_Type,Marginalized_Bias_Score,Non_Maarginalized_Bias_scores
AraAlBERT_results_Femm,Sexual_orientation,0.562,0.5
AraAlBERT_results_Femm,Gender,0.491,0.444
AraAlBERT_results_Femm,Refugees,0.552,0.694
AraAlBERT_results_Femm,Race,0.5,0.639
AraAlBERT_results_Femm,Religion,0.521,0.556
AraAlBERT_results_Femm,Physical_ability,0.588,0.583
AraAlBERT_results_Masc,Sexual_orientation,0.625,0.694
AraAlBERT_results_Masc,Gender,0.519,0.556
AraAlBERT_results_Masc,Refugees,0.618,0.583
AraAlBERT_results_Masc,Race,0.588,0.639
AraAlBERT_results_Masc,Religion,0.573,0.625
AraAlBERT_results_Masc,Physical_ability,0.553,0.639
AraAlBERT_results_NB,Sexual_orientation,0.576,0.583
AraAlBERT_results_NB,Gender,0.528,0.611
AraAlBERT_results_NB,Refugees,0.566,0.639
AraAlBERT_results_NB,Race,0.574,0.583
AraAlBERT_results_NB,Religion,0.534,0.597
AraAlBERT_results_NB,Physical_ability,0.539,0.556
AraBART_results_Femm,Sexual_orientation,0.726,0.778
AraBART_results_Femm,Gender,0.69,0.708
AraBART_results_Femm,Refugees,0.681,0.694
AraBART_results_Femm,Race,0.722,0.694
AraBART_results_Femm,Religion,0.701,0.722
AraBART_results_Femm,Physical_ability,0.701,0.583
AraBART_results_Masc,Sexual_orientation,0.74,0.833
AraBART_results_Masc,Gender,0.699,0.681
AraBART_results_Masc,Refugees,0.726,0.778
AraBART_results_Masc,Race,0.75,0.75
AraBART_results_Masc,Religion,0.72,0.806
AraBART_results_Masc,Physical_ability,0.771,0.778
AraBART_results_NB,Sexual_orientation,0.726,0.778
AraBART_results_NB,Gender,0.704,0.625
AraBART_results_NB,Refugees,0.611,0.611
AraBART_results_NB,Race,0.634,0.694
AraBART_results_NB,Religion,0.652,0.625
AraBART_results_NB,Physical_ability,0.639,0.778
AraBERT_results_Femm,Sexual_orientation,0.681,0.667
AraBERT_results_Femm,Gender,0.704,0.694
AraBERT_results_Femm,Refugees,0.67,0.722
AraBERT_results_Femm,Race,0.662,0.722
AraBERT_results_Femm,Religion,0.707,0.736
AraBERT_results_Femm,Physical_ability,0.711,0.639
AraBERT_results_Masc,Sexual_orientation,0.622,0.583
AraBERT_results_Masc,Gender,0.583,0.708
AraBERT_results_Masc,Refugees,0.618,0.639
AraBERT_results_Masc,Race,0.579,0.556
AraBERT_results_Masc,Religion,0.615,0.667
AraBERT_results_Masc,Physical_ability,0.583,0.556
AraBERT_results_NB,Sexual_orientation,0.656,0.583
AraBERT_results_NB,Gender,0.56,0.653
AraBERT_results_NB,Refugees,0.677,0.778
AraBERT_results_NB,Race,0.704,0.639
AraBERT_results_NB,Religion,0.679,0.722
AraBERT_results_NB,Physical_ability,0.669,0.611
CamelBERT_da_results_Femm,Sexual_orientation,0.583,0.528
CamelBERT_da_results_Femm,Gender,0.556,0.514
CamelBERT_da_results_Femm,Refugees,0.615,0.611
CamelBERT_da_results_Femm,Race,0.551,0.667
CamelBERT_da_results_Femm,Religion,0.59,0.625
CamelBERT_da_results_Femm,Physical_ability,0.611,0.528
CamelBERT_da_results_Masc,Sexual_orientation,0.601,0.528
CamelBERT_da_results_Masc,Gender,0.602,0.569
CamelBERT_da_results_Masc,Refugees,0.67,0.667
CamelBERT_da_results_Masc,Race,0.634,0.667
CamelBERT_da_results_Masc,Religion,0.635,0.667
CamelBERT_da_results_Masc,Physical_ability,0.602,0.583
CamelBERT_da_results_NB,Sexual_orientation,0.517,0.417
CamelBERT_da_results_NB,Gender,0.56,0.569
CamelBERT_da_results_NB,Refugees,0.542,0.5
CamelBERT_da_results_NB,Race,0.5,0.472
CamelBERT_da_results_NB,Religion,0.487,0.431
CamelBERT_da_results_NB,Physical_ability,0.542,0.556
CamelBERT_msa_results_Femm,Sexual_orientation,0.542,0.528
CamelBERT_msa_results_Femm,Gender,0.551,0.583
CamelBERT_msa_results_Femm,Refugees,0.552,0.556
CamelBERT_msa_results_Femm,Race,0.583,0.611
CamelBERT_msa_results_Femm,Religion,0.549,0.611
CamelBERT_msa_results_Femm,Physical_ability,0.542,0.611
CamelBERT_msa_results_Masc,Sexual_orientation,0.601,0.528
CamelBERT_msa_results_Masc,Gender,0.556,0.611
CamelBERT_msa_results_Masc,Refugees,0.642,0.667
CamelBERT_msa_results_Masc,Race,0.62,0.722
CamelBERT_msa_results_Masc,Religion,0.635,0.681
CamelBERT_msa_results_Masc,Physical_ability,0.567,0.75
CamelBERT_msa_results_NB,Sexual_orientation,0.573,0.444
CamelBERT_msa_results_NB,Gender,0.611,0.625
CamelBERT_msa_results_NB,Refugees,0.639,0.639
CamelBERT_msa_results_NB,Race,0.657,0.667
CamelBERT_msa_results_NB,Religion,0.596,0.597
CamelBERT_msa_results_NB,Physical_ability,0.606,0.667
XML_Roberta_results_Femm,Sexual_orientation,0.611,0.694
XML_Roberta_results_Femm,Gender,0.606,0.514
XML_Roberta_results_Femm,Refugees,0.573,0.583
XML_Roberta_results_Femm,Race,0.644,0.528
XML_Roberta_results_Femm,Religion,0.585,0.583
XML_Roberta_results_Femm,Physical_ability,0.623,0.444
XML_Roberta_results_Masc,Sexual_orientation,0.566,0.639
XML_Roberta_results_Masc,Gender,0.597,0.583
XML_Roberta_results_Masc,Refugees,0.573,0.611
XML_Roberta_results_Masc,Race,0.616,0.639
XML_Roberta_results_Masc,Religion,0.62,0.556
XML_Roberta_results_Masc,Physical_ability,0.595,0.583
XML_Roberta_results_NB,Sexual_orientation,0.59,0.639
XML_Roberta_results_NB,Gender,0.676,0.597
XML_Roberta_results_NB,Refugees,0.587,0.556
XML_Roberta_results_NB,Race,0.579,0.444
XML_Roberta_results_NB,Religion,0.596,0.556
XML_Roberta_results_NB,Physical_ability,0.574,0.667
